part_no,pooling_station,region,total_voters
Part_387,PRIMARY SCHOOL CHKKLUTI,CHKKLUTI,559
Part_388,PRIMARY SCHOOL CHKKLUTI GJDHRA R.NO.-1,GJDHRA,736
Part_389,PRIMARY SCHOOL CHKKLUTI GJDHRA R.NO.-2,GJDHRA,475
Part_390,PRIMARY SCHOOL KAVL R.NO.-1,KAVL,788
Part_391,PRIMARY SCHOOL KAVL R.NO.-2,KAVL,879
Part_392,PRIMARY SCHOOL KAVL SITHT GRAM.,CHKSIKHARI,872
Part_393,PRIMARY SCHOOL KAVL SITHT GRAM.,CHKSIKHARI,764
Part_394,JUNIOR HIGH SCHOOL SCHOOL NNDAPUR,NNDAPUR,993
Part_395,GDERIYA COMPOSITE SCHOOL PURE GDERIYA,PURE JHAMMAN,984
Part_396,PRIMARY SCHOOL JYSINHPUR,JYSINHPUR,520
Part_397,DAS PRIMARY SCHOOL CHKKISHUNDAS,CHKKISHUN,727
Part_398,DAS PRIMARY SCHOOL TINBRVAN CHKKISHUNDAS,CHKKISHUN,821
Part_399,COMPOSITE SCHOOL KESHVPUR SRPTHA K0S0-1,KESHVPUR,686
Part_400,COMPOSITE SCHOOL KESHVPUR SRPTHA K0S0-2,KESHVPUR,870
Part_401,COMPOSITE SCHOOL KESHVPUR SRPTHA K0S0-3,KESHVPUR,555
Part_402,PRIMARY SCHOOL DEVAJITPUR,DEVAJITPUR,1032
Part_403,PRIMARY SCHOOL CHHOTA DIH BA DIH,GYANPUR,1029
Part_404,MUKHY BHVN VIBHUTI NARAYN RAJKIY INTR,GYANPUR,962
Part_405,MUKHY BHVN VIBHUTI NARAYN RAJKIY INTR,GYANPUR,789
Part_406,MUKHY BHVN VIBHUTI NARAYN RAJKIY INTR,GYANPUR,714
Part_407,KASHI NRESH RAJKIY SNATKOTTR MHAVIDYAALY,GYANPUR,544
Part_408,KASHI NRESH RAJKIY SNATKOTTR MHAVIDYAALY,GYANPUR,693
Part_409,KASHI NRESH RAJKIY SNATKOTTR MHAVIDYAALY,GYANPUR,834
Part_410,KASHI NRESH RAJKIY SNATKOTTR MHAVIDYAALY,GYANPUR,752
Part_411,KAYALRY JILA PNCHAYT GYANPUR K0S0-1,GYANPUR,629
Part_412,KAYALRY JILA PNCHAYT GYANPUR K0S0-2,GYANPUR,772
Part_413,COMPOSITE SCHOOL GYANPUR R.NO.-1,GYANPUR,696
Part_414,COMPOSITE SCHOOL GYANPUR R.NO.-2,GYANPUR,578
Part_415,PRIMARY SCHOOL .GYANPUR DEHAT,GYANPUR,651
Part_416,PRIMARY SCHOOL CHKTODR,CHKTODR,797
Part_417,UR COMPOSITE SCHOOL GIRDHRPUR,CHHOTPU,660
Part_418,PRIMARY SCHOOL GIRDHRPUR DIVTIY,GIRDHRPUR,862
Part_419,KA PURA COMPOSITE SCHOOL RAM KA PURA,RAM,583
Part_420,GOSAIDAS PNCHAYT BHVN PUREGOSAIDAS,PURE JHAMMAN,795
Part_421,GIRLS PRIMARY SCHOOL GYANPUR,PURE JHAMMAN,525
Part_422,KA PURA PNCHAYT BHVN TEJIKAPURA,TEJI,412
Part_423,PUV RMADHYMIK SCHOOL LKHNO,TKTAIYA,502
Part_424,GULABDHR MISHR INTR KALEJ GOPIGANJ R.NO.-1,GOPIGANJ,999
Part_425,GULABDHR MISHR INTR KALEJ GOPIGANJ R.NO.-2,GOPIGANJ,1095
Part_426,GULABDHR MISHR INTR KALEJ GOPIGANJ R.NO.-3,GOPIGANJ,1101
Part_427,GULABDHR MISHR INTR KALEJ GOPIGANJ R.NO.-4,GOPIGANJ,838
Part_428,GULABDHR MISHR INTR KALEJ GOPIGANJ R.NO.-5,GOPIGANJ,974
Part_429,GULABDHR MISHR INTR KALEJ GOPIGANJ R.NO.-6,GOPIGANJ,460
Part_430,PRIMARY SCHOOL GOPIGANJ R.NO.-1,GOPIGANJ,609
Part_431,PRIMARY SCHOOL GOPIGANJ R.NO.-2,GOPIGANJ,644
Part_432,PNCHAYT BHVN PURE BHGVT R.NO.-1,GOPIGANJ,698
Part_433,PNCHAYT BHVN PURE BHGVT R.NO.-2,GOPIGANJ,589
Part_434,JILA PNCHAYT HAI SEKENDRI SCHOOL GOPIGANJ,GOPIGANJ,1058
Part_435,JILA PNCHAYT HAI SEKENDRI SCHOOL GOPIGANJ,GOPIGANJ,896
Part_436,PRIMARY SCHOOL KTHAUTA,KTHAUTA,1003
Part_437,PRIMARY SCHOOL GERAI K0S0-1,GERAI,900
Part_438,PRIMARY SCHOOL GERAI K0S0-2,GERAI,914
Part_439,PRIMARY SCHOOL GERAI K0S0-3,GERAI,759
Part_440,PRIMARY SCHOOL .KALI DEVI MAHAL GOPIGANJ,GOPIGANJ,1068
Part_441,PRIMARY SCHOOL KALI DEVI MAHAL GOPIGANJ,GOPIGANJ,918
Part_442,PRIMARY SCHOOL KALI DEVI MAHAL GOPIGANJ,GOPIGANJ,984
Part_443,PRIMARY SCHOOL KALI DEVI MAHAL GOPIGANJ,GOPIGANJ,830
Part_444,PRIMARY SCHOOL KALI DEVI MAHAL GOPIGANJ,GOPIGANJ,670
Part_445,PRIMARY SCHOOL KALI DEVI MAHAL GOPIGANJ,GOPIGANJ,722
Part_446,PRIMARY SCHOOL PURE JHAMMAN R.NO.-1,PURE JHAMMAN,1070
Part_447,PRIMARY SCHOOL PURE JHAMMAN R.NO.-2,PURE JHAMMAN,670
Part_448,PRIMARY SCHOOL RAMPUR GHAT R.NO.-1,RAMPUR GHAT,723
Part_449,PRIMARY SCHOOL RAMPUR GHAT R.NO.-2,RAMPUR GHAT,705
Part_450,COMPOSITE SCHOOL AMILAUR,AMILAUR,1008
