part_no,pooling_station,region,total_voters
Part_144,COMPOSITE SCHOOL GODHNA K0S0-1,GODHNA,1027
Part_145,COMPOSITE SCHOOL GODHNA K0S0-2,GODHNA,737
Part_146,COMPOSITE SCHOOL GODHNA K0S0-3,GODHNA,650
Part_147,COMPOSITE SCHOOL GODHNA K0S0-4,GODHNA,927
Part_148,COMPOSITE SCHOOL DRVASI K0S0-1,DRVASI,824
Part_149,COMPOSITE SCHOOL DRVASI K0S0-2,DRVASI,884
Part_150,COMPOSITE SCHOOL DRVASI K0S0-3,DRVASI,1055
Part_151,PRIMARY SCHOOL UJMUGRHA K0S0-1,UJMUGRHA,983
Part_152,PRIMARY SCHOOL UJMUGRHA K0S0-2,UJMUGRHA,828
Part_153,COMPOSITE SCHOOL KHRGAPUR R.NO.-1,KHRGAPUR,862
Part_154,COMPOSITE SCHOOL KHRGAPUR R.NO.-2,MANSHAHPUR,513
Part_155,COMPOSITE SCHOOL. BSHI R.NO.-1,RAMKISHUNPUR,700
Part_156,COMPOSITE SCHOOL. BSHI R.NO.-2,RAMKISHUNPUR,587
Part_157,PNCHAYT BHVN BHAVAPUR,JAJPUR,457
Part_158,COMPOSITE SCHOOL GOLKHRA R.NO.-1,GOLKHRA,620
Part_159,COMPOSITE SCHOOL GOLKHRA R.NO.-2,GOLKHRA,525
Part_160,COMPOSITE SCHOOL KEVTAHI K0S0-1,KEVTAHI,958
Part_161,COMPOSITE SCHOOL KEVTAHI K0S0-2,KEVTAHI,756
Part_162,PRIMARY SCHOOL JHRIHGPUR,JHRIHGPUR,657
Part_163,UPRVAR COMPOSITE SCHOOL ARI,ARI,1055
Part_164,COMPOSITE SCHOOL KHEMAPUR,KHEMAPUR,973
Part_165,PRIMARY SCHOOL KTRA,DIGH,660
Part_166,UPRVAR COMPOSITE SCHOOL.DUGUNA R.NO.-1,DUGUNA,763
Part_167,UPRVAR COMPOSITE SCHOOL.DUGUNA R.NO.-2,DUGUNA,714
Part_168,PNCHAYT BHVN PRSNI,PRSNI,453
Part_169,PRIMARY SCHOOL BHTGVA,BHTGVAN,715
Part_170,COMPOSITE SCHOOL KUI KLA R.NO.-1,KUIKLA,717
Part_171,COMPOSITE SCHOOL KUI KLA R.NO.-2,KUIKLA,555
Part_172,PRIMARY SCHOOL KUDIKHUD RR.NO.-1,KUIKHUDZ,656
Part_173,PRIMARY SCHOOL KUDIKHUD RR.NO.-2,KUIKHUDZ,550
Part_174,PRIMARY SCHOOL SHERPUR,SHERPUR,1079
Part_175,UPRVAR PUV RMADHYMIK SCHOOL TEDHI UPRVAR,TEDHI,989
Part_176,SINH PRIMARY SCHOOL MVAIYATHANSINH,MVAIYATHAN,909
Part_177,BHDRANV PUV RMADHYMIK SCHOOL LKHNPUR BHDRAV,LKHNPUR,449
Part_178,PUV RMADHYMIK SCHOOL LKHNPUR BHDRAV,BHBHAURI,765
Part_179,COMPOSITE SCHOOL BHBHAURI K0S0-1,BHBHAURI,793
Part_180,COMPOSITE SCHOOL BHBHAURI K0S0-2,TULSIKLA,854
Part_181,COMPOSITE SCHOOL KLA TULSI R.NO.-1,TULSIKLA,493
Part_182,COMPOSITE SCHOOL KLA TULSI R.NO.-2,DHNTULSI,912
Part_183,SHRINRAYN INTR KALEJ DHNTULSI R.NO.-1,DHNTULSI,801
Part_184,SHRINRAYN INTR KALEJ DHNTULSI R.NO.-2,GJADHRPUR,840
Part_185,COMPOSITE SCHOOL GJADHRPUR R.NO.-1,GJADHRPUR,679
Part_186,COMPOSITE SCHOOL GJADHRPUR R.NO.-2,CHHECHHUAA,703
Part_187,COMPOSITE SCHOOL CHHECHHUAA K0S0-1,CHHECHHUAA,848
Part_188,COMPOSITE SCHOOL CHHECHHUAA K0S0-2,KLIKMVAIYA,642
Part_189,COMPOSITE SCHOOL KLIKMVAIYA K0S0-1,KLIKMVAIYA,974
Part_190,COMPOSITE SCHOOL KLIKMVAIYA K0S0-2,ITHRA,931
Part_191,COMPOSITE SCHOOL ITHRA R.NO.-1,ITHRA,888
Part_192,COMPOSITE SCHOOL ITHRA R.NO.-2,ITHRA,854
Part_193,COMPOSITE SCHOOL ITHRA R.NO.-3,ITHRA,670
Part_194,PRIMARY SCHOOL DIGH K0S0-1,DIGH,893
Part_195,PRIMARY SCHOOL DIGH K0S0-2,DIGH,921
Part_196,JUNIOR HIGH SCHOOL KTRA K0S0-1,KTRA,1072
Part_197,JUNIOR HIGH SCHOOL KTRA K0S0-2,KTRA,809
Part_198,JUNIOR HIGH SCHOOL KTRA R.NO.-3,KTRA,1097
Part_199,COMPOSITE SCHOOL TALWA (D) R.NO.-1,TALWA,668
Part_200,COMPOSITE SCHOOL TALWA (D) R.NO.-2,TALWA,634
Part_201,PRIMARY SCHOOL CHKIYA,CHKIYA,638
Part_202,JUNIOR HIGH SCHOOL BNKT K0S0-1,BNKT,944
Part_203,JUNIOR HIGH SCHOOL BNKT K0S0-2,BNKT,951
Part_204,PRIMARY SCHOOL BNKT,BNKT,1102
Part_205,COMPOSITE SCHOOL BARIPUR K0S0-1,BARIPUR,815
Part_206,COMPOSITE SCHOOL BARIPUR K0S0-2,BARIPUR,898
Part_207,COMPOSITE SCHOOL BARIPUR K0S0-3,BARIPUR,951
Part_208,PRIMARY SCHOOL NAREPAR R.NO.-1,NAREPAR,691
Part_209,PRIMARY SCHOOL NAREPAR R.NO.-2,NAREPAR,839
Part_210,LVKUSH INTR KALEJ SITAMI R.NO.-1,NAREPAR,745
